t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,SynchronousMachine_machine_1_omega,SynchronousMachine_machine_1_te,SynchronousMachine_machine_1_ia,SynchronousMachine_machine_1_p,LineLumped_line_1_2_i12a
3.5500000000000004e-02,1.9202760430966935e+05,8.1565057031278513e+04,-2.7343215459872392e+05,2.0503709470130803e+05,6.2558052564246609e+04,-2.6992616252497112e+05,1.0000137987834803e+00,4.8604620151384392e-01,3.1520588778152745e+02,2.4136334396625027e+08,3.6398775956496729e+02
3.6000000000000004e-02,1.5003218080389555e+05,1.3060690920076997e+05,-2.8087963705651544e+05,1.6598655784277161e+05,1.1308181850381548e+05,-2.8135344594782731e+05,1.0000132179896406e+00,4.8973506779468129e-01,2.2329184954726094e+02,2.4357983095788786e+08,2.7918995181107510e+02
3.6499999999999998e-02,1.0282469856318075e+05,1.7537453240404732e+05,-2.7825050996254489e+05,1.2093580483034720e+05,1.5943385598595598e+05,-2.8292789246822259e+05,1.0000124326959228e+00,4.9199424199229391e-01,1.2473961298022672e+02,2.4527178592233455e+08,1.8398365338744199e+02
3.6999999999999998e-02,5.1829902983624939e+04,2.1366645178462894e+05,-2.6586843376100424e+05,7.1659269670419570e+04,2.0035830583061455e+05,-2.7438612505488365e+05,1.0000115556039928e+00,4.9246055382770820e-01,2.0422614434442682e+01,2.4605480738723722e+08,8.2617298264080006e+01
3.7499999999999999e-02,-9.4037538104128362e+02,2.4465130703227813e+05,-2.4394419263519472e+05,1.9724082230930588e+04,2.3401901487525270e+05,-2.5618661044368247e+05,1.0000107070925055e+00,4.9111198521732230e-01,-8.3469098261186517e+01,2.4598046905439630e+08,-2.2143188071220646e+01
3.7999999999999999e-02,-5.3774293512623168e+04,2.6672517938756570e+05,-2.1342497164391939e+05,-3.2857671451733208e+04,2.5955052943847046e+05,-2.2879921779259018e+05,1.0000100101081264e+00,4.8807746136997909e-01,-1.8555236080521593e+02,2.4487824431797498e+08,-1.2577701261472863e+02
3.8500000000000000e-02,-1.0464029867487215e+05,2.7952538918313192e+05,-1.7524885778470783e+05,-8.4357071116490872e+04,2.7570330400295521e+05,-1.9334370046800055e+05,1.0000095600187351e+00,4.8384193103551265e-01,-2.7996258750675150e+02,2.4308231000639161e+08,-2.2530118877052797e+02
3.9000000000000000e-02,-1.5183221701093763e+05,2.8220452310577460e+05,-1.3089780562153917e+05,-1.3278963290233933e+05,2.8220084968455974e+05,-1.5094475689147643e+05,1.0000094239248241e+00,4.7894297800016050e-01,-3.6540198485981273e+02,2.4066762265804818e+08,-3.1647140366873759e+02
3.9500000000000000e-02,-1.9357376266716147e+05,2.7501824873400392e+05,-8.1871642678650474e+04,-1.7655240147725987e+05,2.7852671967082220e+05,-1.0325293900935665e+05,1.0000096181691247e+00,4.7413573361473732e-01,-4.3686676278749280e+02,2.3814637125796130e+08,-3.9666794228889103e+02
4.0000000000000001e-02,-2.2845222091971987e+05,2.5792905936737574e+05,-2.9990786977314725e+04,-2.1396731039381542e+05,2.6509284861813823e+05,-5.1857163648553651e+04,1.0000101181263756e+00,4.7004234629605374e-01,-4.9368603045660996e+02,2.3572153545211321e+08,-4.6245301589934593e+02
