t,Bus_Bus_1_Vm,Genrou_DV1_speed
1.1541669999999999e+00,9.3696439300000001e-01,1.0068731310000001e+00
1.1583330000000001e+00,9.3809080099999997e-01,1.0061602590000001e+00
1.1625000000000001e+00,9.3900394399999998e-01,1.0054407120000000e+00
1.1666669999999999e+00,9.3974930000000001e-01,1.0047158000000000e+00
1.1708330000000000e+00,9.4036680500000003e-01,1.0039865969999999e+00
1.1750000000000000e+00,9.4089132499999995e-01,1.0032539370000000e+00
1.1791670000000001e+00,9.4135248699999996e-01,1.0025196080000001e+00
1.1833330000000000e+00,9.4177555999999996e-01,1.0017852780000001e+00
1.1875000000000000e+00,9.4218200399999996e-01,1.0010520220000001e+00
1.1916670000000000e+00,9.4258928300000000e-01,1.0003216269999999e+00
1.1958329999999999e+00,9.4301164199999998e-01,9.9959617899999997e-01
1.2000000000000000e+00,9.4346034499999998e-01,9.9887692900000002e-01
1.2041670000000000e+00,9.4394379900000003e-01,9.9816572699999995e-01
1.2083330000000001e+00,9.4446760399999996e-01,9.9746453800000001e-01
1.2124999999999999e+00,9.4503569600000004e-01,9.9677467300000000e-01
1.2166669999999999e+00,9.4564938499999995e-01,9.9609804199999996e-01
1.2208330000000001e+00,9.4630819600000005e-01,9.9543654900000000e-01
1.2250000000000001e+00,9.4701045800000005e-01,9.9479144799999997e-01
1.2291669999999999e+00,9.4775259499999998e-01,9.9416452600000005e-01
1.2333330000000000e+00,9.4852989899999995e-01,9.9355745299999998e-01
1.2375000000000000e+00,9.4933712500000000e-01,9.9297153999999999e-01
1.2416670000000001e+00,9.5016753700000001e-01,9.9240833500000003e-01
1.2458330000000000e+00,9.5101404199999995e-01,9.9186932999999999e-01
1.2500000000000000e+00,9.5186936899999997e-01,9.9135559799999995e-01
1.2541670000000000e+00,9.5272570800000000e-01,9.9086844900000004e-01
1.2583329999999999e+00,9.5357495500000000e-01,9.9040913600000002e-01
1.2625000000000000e+00,9.5440977800000004e-01,9.8997849199999999e-01
1.2666670000000000e+00,9.5521563300000001e-01,9.8957759099999998e-01
1.2708330000000001e+00,9.5600509600000005e-01,9.8920732700000003e-01
1.2749999999999999e+00,9.5675152500000005e-01,9.8886817699999996e-01
1.2791669999999999e+00,9.5745807900000002e-01,9.8856091499999998e-01
1.2833330000000001e+00,9.5812040600000004e-01,9.8828589899999997e-01
1.2875000000000001e+00,9.5872330699999997e-01,9.8804354699999997e-01
1.2916669999999999e+00,9.5928311300000002e-01,9.8783403599999997e-01
1.2958330000000000e+00,9.5976853399999995e-01,9.8765760700000005e-01
1.3000000000000000e+00,9.6021366100000005e-01,9.8751401900000002e-01
1.3041670000000001e+00,9.6057563999999995e-01,9.8740327400000005e-01
1.3083330000000000e+00,9.6090131999999995e-01,9.8732513200000005e-01
1.3125000000000000e+00,9.6114075200000004e-01,9.8727905800000004e-01
1.3166670000000000e+00,9.6134942800000001e-01,9.8726481200000005e-01
1.3208329999999999e+00,9.6147400100000002e-01,9.8728156099999997e-01
1.3250000000000000e+00,9.6157419700000002e-01,9.8732882700000002e-01
1.3291670000000000e+00,9.6159732300000000e-01,9.8740565800000002e-01
1.3333330000000001e+00,9.6160286699999997e-01,9.8751133700000004e-01
1.3374999999999999e+00,9.6154200999999995e-01,9.8764479199999999e-01
1.3416669999999999e+00,9.6147048499999999e-01,9.8780524700000005e-01
