frequency_hz,quantity,row,col,label,real,imag,mag,phase_deg,unit
1.108590652993e0,Y,2,2,Y_cc,0.000000000000e0,5.938077284879e-8,5.938077284879e-8,9.000000000000e1,S/km
1.122968603241e0,Z,0,0,Z_aa,1.668637521766e-1,1.972444104369e-2,1.680254902237e-1,6.741471408918e0,ohm/km
1.122968603241e0,Z,0,1,Z_ab,8.525187964936e-4,1.213986107250e-2,1.216975822101e-2,8.598301241280e1,ohm/km
1.122968603241e0,Z,0,2,Z_ac,8.526442030112e-4,1.127460811827e-2,1.130680283535e-2,8.567522885280e1,ohm/km
1.122968603241e0,Z,1,0,Z_ba,8.525187964936e-4,1.213986107250e-2,1.216975822101e-2,8.598301241280e1,ohm/km
1.122968603241e0,Z,1,1,Z_bb,1.668635006762e-1,1.972456520743e-2,1.680252550379e-1,6.741523522776e0,ohm/km
1.122968603241e0,Z,1,2,Z_bc,8.525187964936e-4,1.213986107250e-2,1.216975822101e-2,8.598301241280e1,ohm/km
1.122968603241e0,Z,2,0,Z_ca,8.526442030112e-4,1.127460811827e-2,1.130680283535e-2,8.567522885280e1,ohm/km
1.122968603241e0,Z,2,1,Z_cb,8.525187964936e-4,1.213986107250e-2,1.216975822101e-2,8.598301241280e1,ohm/km
1.122968603241e0,Z,2,2,Z_cc,1.668637521766e-1,1.972444104369e-2,1.680254902237e-1,6.741471408918e0,ohm/km
1.122968603241e0,Y,0,0,Y_aa,0.000000000000e0,6.015091626956e-8,6.015091626956e-8,9.000000000000e1,S/km
1.122968603241e0,Y,0,1,Y_ab,0.000000000000e0,-1.793754056573e-8,1.793754056573e-8,-9.000000000000e1,S/km
1.122968603241e0,Y,0,2,Y_ac,0.000000000000e0,-1.040236799667e-8,1.040236799667e-8,-9.000000000000e1,S/km
1.122968603241e0,Y,1,0,Y_ba,0.000000000000e0,-1.793754056573e-8,1.793754056573e-8,-9.000000000000e1,S/km
1.122968603241e0,Y,1,1,Y_bb,0.000000000000e0,6.335243195332e-8,6.335243195332e-8,9.000000000000e1,S/km
1.122968603241e0,Y,1,2,Y_bc,0.000000000000e0,-1.793754056573e-8,1.793754056573e-8,-9.000000000000e1,S/km
1.122968603241e0,Y,2,0,Y_ca,0.000000000000e0,-1.040236799667e-8,1.040236799667e-8,-9.000000000000e1,S/km
1.122968603241e0,Y,2,1,Y_cb,0.000000000000e0,-1.793754056573e-8,1.793754056573e-8,-9.000000000000e1,S/km
1.122968603241e0,Y,2,2,Y_cc,0.000000000000e0,6.015091626956e-8,6.015091626956e-8,9.000000000000e1,S/km
1.137533029402e0,Z,0,0,Z_aa,1.668804724138e-1,1.997212022115e-2,1.680713469309e-1,6.824652750673e0,ohm/km
1.137533029402e0,Z,0,1,Z_ab,8.692206078455e-4,1.228917261836e-2,1.231987451677e-2,8.595417274993e1,ohm/km
1.137533029402e0,Z,0,2,Z_ac,8.693485702036e-4,1.141269664201e-2,1.144575954574e-2,8.564397446335e1,ohm/km
1.137533029402e0,Z,1,0,Z_ba,8.692206078455e-4,1.228917261836e-2,1.231987451677e-2,8.595417274993e1,ohm/km
1.137533029402e0,Z,1,1,Z_bb,1.668802157853e-1,1.997224811466e-2,1.680711073186e-1,6.824706436871e0,ohm/km
1.137533029402e0,Z,1,2,Z_bc,8.692206078455e-4,1.228917261836e-2,1.231987451677e-2,8.595417274993e1,ohm/km
1.137533029402e0,Z,2,0,Z_ca,8.693485702036e-4,1.141269664201e-2,1.144575954574e-2,8.564397446335e1,ohm/km
1.137533029402e0,Z,2,1,Z_cb,8.692206078455e-4,1.228917261836e-2,1.231987451677e-2,8.595417274993e1,ohm/km
1.137533029402e0,Z,2,2,Z_cc,1.668804724138e-1,1.997212022115e-2,1.680713469309e-1,6.824652750673e0,ohm/km
1.137533029402e0,Y,0,0,Y_aa,0.000000000000e0,6.093104812363e-8,6.093104812363e-8,9.000000000000e1,S/km
1.137533029402e0,Y,0,1,Y_ab,0.000000000000e0,-1.817018285361e-8,1.817018285361e-8,-9.000000000000e1,S/km
1.137533029402e0,Y,0,2,Y_ac,0.000000000000e0,-1.053728229449e-8,1.053728229449e-8,-9.000000000000e1,S/km
1.137533029402e0,Y,1,0,Y_ba,0.000000000000e0,-1.817018285361e-8,1.817018285361e-8,-9.000000000000e1,S/km
