omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5
1781.0654060885513,5.885897559152846e-08,6.025643169764233e-06,6.645310406211708e-08,6.017447217639997e-06,6.654671465155138e-08,6.007672539571193e-06,6.513877489675305e-08,6.006173107184519e-06,1.01450358184026e-07,6.0684700680347e-06,9.986508669508605e-07,7.348988365604136e-06
1854.299445140307,5.981849349167236e-08,6.272475319743642e-06,6.81615308422907e-08,6.2633277589187105e-06,6.775513691940724e-08,6.25360709470201e-06,6.635615895894096e-08,6.25200801595836e-06,1.0484633399132665e-07,6.315170693492285e-06,1.0163846857144678e-06,7.624507230712428e-06
1930.5447292914844,6.079426914013396e-08,6.529438268843768e-06,6.987789532106755e-08,6.519246784088026e-06,6.898093612822188e-08,6.509615182947748e-06,6.759236454867999e-08,6.5079135751175e-06,1.0829777949541889e-07,6.571868368439293e-06,1.0340319589193963e-06,7.911527688993124e-06
2009.9250752421622,6.178590577401113e-08,6.796949014773282e-06,7.15994843772256e-08,6.785624142504477e-06,7.022339688374636e-08,6.776114043000834e-06,6.884675396317257e-08,6.77430676138407e-06,1.1179744414657576e-07,6.838977772666368e-06,1.0516384039016472e-06,8.210530206569876e-06
2092.569390800818,6.279326134356031e-08,7.075440725516139e-06,7.332414456003444e-08,7.062895131904031e-06,7.14822361125875e-08,7.0535365844409595e-06,7.01191161940928e-08,7.051620213080982e-06,1.153376917055893e-07,7.116929469535597e-06,1.0692480961005492e-06,8.522021967525281e-06
2178.6118842210713,6.381628639289478e-08,7.365363992187873e-06,7.50499364451839e-08,7.3515118066251905e-06,7.27572769201649e-08,7.3423326711204375e-06,7.140935726620845e-08,7.340303510352385e-06,1.1891062722463342e-07,7.4061717143694605e-06,1.0869077102866092e-06,8.846526519034297e-06
2268.1922821459616,6.485502154635317e-08,7.667188799905593e-06,7.677507034778837e-08,7.651945112569696e-06,7.404838791848876e-08,7.642971171410934e-06,7.271744362975123e-08,7.640825224992117e-06,1.2250824888194037e-07,7.707172669277006e-06,1.1046673369448268e-06,9.184583709096243e-06
2361.4560565136667,6.590958133583368e-08,7.981404292827168e-06,7.849783101671462e-08,7.964684780583482e-06,7.535542141114845e-08,7.955939773149925e-06,7.404334021316876e-08,7.953672740263563e-06,1.2612236771399939e-07,8.020420083933711e-06,1.122578342330097e-06,9.536752236469971e-06
2458.5546607931824,6.698143586717216e-08,8.308519846382618e-06,8.021891348780962e-08,8.290240794146182e-06,7.668043566573884e-08,8.281746433939832e-06,7.538912291539095e-08,8.279353626285184e-06,1.2974664640396236e-07,8.346422735612093e-06,1.140695092463398e-06,9.90360859388638e-06
2559.645775933539,6.806989460710654e-08,8.649068871685171e-06,8.193511966176865e-08,8.629146174014102e-06,7.802162316830335e-08,8.620922191766236e-06,7.675320589822495e-08,8.618398641487177e-06,1.3337214669717533e-07,8.685714127162392e-06,1.1590766944700965e-06,1.0285742858055091e-05
2664.893566426,6.917667683959818e-08,9.003597742803998e-06,8.364749441372473e-08,8.981947805151794e-06,7.938113378568741e-08,8.974011807100649e-06,7.81377853951251e-08,8.971352090038996e-06,1.3699254348973473e-07,9.03884083636516e-06,1.1777756099934014e-06,1.0683774502332101e-05
